player_id,player_name,team,position,bye_week
30071,Kendrick Bourne,NE,WR,11
30072,Khalil Shakir,BUF,WR,13
30073,Kyle Philips,TEN,WR,7
30074,Laviska Shenault Jr.,CAR,WR,7
30075,Mack Hollins,ATL,WR,11
30076,Marquez Callaway,DEN,WR,9
30077,Marquez Valdes-Scantling,KC,WR,10
30078,Marquise Brown,ARZ,WR,14
30079,Marvin Jones Jr.,DET,WR,9
30080,Marvin Mims Jr.,DEN,WR,9
30081,Mecole Hardman Jr.,NYJ,WR,7
30082,Michael Gallup,DAL,WR,7
30083,Michael Pittman Jr.,IND,WR,11
30084,Michael Thomas,NO,WR,11
30085,Michael Wilson,ARZ,WR,14
30086,Mike Evans,TB,WR,5
30087,Mike Williams,LAC,WR,5
30088,Nelson Agholor,BAL,WR,13
30089,Nick Westbrook-Ikhine,TEN,WR,7
30090,Nico Collins,HOU,WR,7
30091,Odell Beckham Jr.,BAL,WR,13
30092,Parris Campbell,NYG,WR,13
30093,Puka Nacua,LAR,WR,10
30094,Quentin Johnston,LAC,WR,5
30095,Quez Watkins,PHI,WR,10
30096,Rashee Rice,KC,WR,10
30097,Rashid Shaheed,NO,WR,11
30098,Rashod Bateman,BAL,WR,13
30099,Richie James Jr.,KC,WR,10
30100,Robbie Chosen,MIA,WR,10
30101,Robert Woods,HOU,WR,7
30102,Romeo Doubs,GB,WR,6
30103,Rondale Moore,ARZ,WR,14
30104,Russell Gage,TB,WR,5
30105,Skyy Moore,KC,WR,10
30106,Stefon Diggs,BUF,WR,13
30107,Sterling Shepard,NYG,WR,13
30108,Tank Dell,HOU,WR,7
30109,Tee Higgins,CIN,WR,7
30110,Terrace Marshall Jr.,CAR,WR,7
30111,Terry McLaurin,WAS,WR,14
30112,Trent Sherfield,BUF,WR,13
30113,Trey Palmer,TB,WR,5
30114,Treylon Burks,TEN,WR,7
30115,Tutu Atwell,LAR,WR,10
30116,Tyler Boyd,CIN,WR,7
30117,Tyler Lockett,SEA,WR,5
30118,Tyler Scott,CHI,WR,13
30119,Tyquan Thornton,NE,WR,11
30120,Tyreek Hill,MIA,WR,10
30121,Van Jefferson,LAR,WR,10
30122,Wan'Dale Robinson,NYG,WR,13
30123,Xavier Hutchinson,HOU,WR,7
30124,Zay Flowers,BAL,WR,13
30125,Zay Jones,JAX,WR,9
40001,Travis Kelce,KC,TE,10
40002,Mark Andrews,BAL,TE,13
40003,T.J. Hockenson,MIN,TE,13
40004,George Kittle,SF,TE,9
40005,Darren Waller,NYG,TE,13
40006,Kyle Pitts,ATL,TE,11
40007,Dallas Goedert,PHI,TE,10
40008,Evan Engram,JAX,TE,9
40009,David Njoku,CLE,TE,5
40010,Greg Dulcich,DEN,TE,9
40011,Dalton Kincaid,BUF,TE,13
40012,Pat Freiermuth,PIT,TE,6
40013,Dalton Schultz,HOU,TE,7
40014,Tyler Higbee,LAR,TE,10
40015,Chigoziem Okonkwo,TEN,TE,7
40016,Sam LaPorta,DET,TE,9
40017,Cole Kmet,CHI,TE,13
40018,Gerald Everett,LAC,TE,5
40019,Tyler Conklin,NYJ,TE,7
40020,Irv Smith Jr.,CIN,TE,7
40021,Juwan Johnson,NO,TE,11
40022,Hayden Hurst,CAR,TE,7
40023,Jelani Woods,IND,TE,11
40024,Logan Thomas,WAS,TE,14
40025,Mike Gesicki,NE,TE,11
40026,Michael Mayer,LV,TE,13
40027,Trey McBride,ARZ,TE,14
40028,Jake Ferguson,DAL,TE,7
40029,Hunter Henry,NE,TE,11
40030,Luke Musgrave,GB,TE,6
40031,Noah Fant,SEA,TE,5
40032,Cade Otton,TB,TE,5
40033,Dawson Knox,BUF,TE,13
40034,Taysom Hill,NO,TE,11
40035,Isaiah Likely,BAL,TE,13
40036,Zach Ertz,ARZ,TE,14
40037,Cole Turner,WAS,TE,14
40038,Donald Parham Jr.,LAC,TE,5
40039,Noah Gray,KC,TE,10
40040,Robert Tonyan,CHI,TE,13
40041,Will Dissly,SEA,TE,5
40042,Austin Hooper,LV,TE,13
40043,Daniel Bellinger,NYG,TE,13
40044,Jonnu Smith,ATL,TE,11
40045,Mo Alie-Cox,IND,TE,11
40046,Durham Smythe,MIA,TE,10
40047,C.J. Uzomah,NYJ,TE,7
40048,Adam Trautman,DEN,TE,9
40049,Foster Moreau,NO,TE,11
40050,Luke Schoonmaker,DAL,TE,7
40051,Jeremy Ruckert,NYJ,TE,7
40052,Darnell Washington,PIT,TE,6
40053,Harrison Bryant,CLE,TE,5
40054,Brevin Jordan,HOU,TE,7
40055,Josh Oliver,MIN,TE,13
40056,Brenton Strange,JAX,TE,9
40057,Tucker Kraft,GB,TE,6
40058,Teagan Quitoriano,HOU,TE,7
40059,Brock Wright,DET,TE,9
40060,Peyton Hendershot,DAL,TE,7
40061,Jordan Akins,CLE,TE,5
40062,Jody Fortson,KC,TE,10
40063,Colby Parkinson,SEA,TE,5
40064,Drew Sample,CIN,TE,7
40065,Tyree Jackson,PHI,TE,10
40066,Albert Okwuegbunam,DEN,TE,9
50001,Arizona Cardinals,ARZ,DEF,14
50002,Atlanta Falcons,ATL,DEF,11
50003,Baltimore Ravens,BAL,DEF,13
50004,Buffalo Bills,BUF,DEF,13
50005,Carolina Panthers,CAR,DEF,7
50006,Chicago Bears,CHI,DEF,13
50007,Cincinnati Bengals,CIN,DEF,7
50008,Cleveland Browns,CLE,DEF,5
50009,Dallas Cowboys,DAL,DEF,7
50010,Denver Broncos,DEN,DEF,9
50011,Detroit Lions,DET,DEF,9
50012,Green Bay Packers,GB,DEF,6
50013,Houston Texans,HOU,DEF,7
50014,Indianapolis Colts,IND,DEF,11
50015,Jacksonville Jaguars,JAX,DEF,9
50016,Kansas City Chiefs,KC,DEF,10
50017,Las Vegas Raiders,LV,DEF,13
50018,Los Angeles Chargers,LAC,DEF,5
50019,Los Angeles Rams,LAR,DEF,10
50020,Miami Dolphins,MIA,DEF,10
50021,Minnesota Vikings,MIN,DEF,13
50022,New England Patriots,NE,DEF,11
50023,New Orleans Saints,NO,DEF,11
50024,New York Giants,NYG,DEF,13
50025,New York Jets,NYJ,DEF,7
50026,Philadelphia Eagles,PHI,DEF,10
50027,Pittsburgh Steelers,PIT,DEF,6
50028,San Francisco 49ers,SF,DEF,9
50029,Seattle Seahawks,SEA,DEF,5
50030,Tampa Bay Buccaneers,TB,DEF,5
50031,Tennessee Titans,TEN,DEF,7
50032,Washington Commanders,WAS,DEF,14
60001,Justin Tucker,BAL,K,13
60002,Tyler Bass,BUF,K,13
60003,Harrison Butker,KC,K,10
60004,Evan McPherson,CIN,K,7
60005,Daniel Carlson,LV,K,13
60006,Jason Sanders,MIA,K,10
60007,Jason Myers,SEA,K,5
60008,Jake Elliott,PHI,K,10
60009,Brandon McManus,JAX,K,9
60010,Jake Moody,SF,K,9
60011,Greg Joseph,MIN,K,13
60012,Greg Zuerlein,NYJ,K,7
60013,Matt Gay,IND,K,11
60014,Younghoe Koo,ATL,K,11
60015,Cade York,CLE,K,5
60016,Nick Folk,NE,K,11
60017,Chris Boswell,PIT,K,6
60018,Graham Gano,NYG,K,13
60019,Wil Lutz,NO,K,11
60020,Eddy Pineiro,CAR,K,7
